site,upedonid,pedlabsampnum,pedon_key,labsampnum,hzn_top,hzn_bot,theta_r,theta_s,alpha,npar,w3cld,w15I2,ds_13b
2057,S02AL089002,02N0184,27979,02N00717,0,20,0.052020695064634,0.490400658021709,-2.3880748410273,0.206497243347704,34.5,NULL,1.03
2057,S02AL089002,02N0184,27979,02N00718,20,46,0.069840073211495,0.445595183934792,-2.34302949034338,0.160766006745449,25.7999992,NULL,1.42
2057,S02AL089002,02N0184,27979,02N00719,46,69,0.079560707380043,0.453426715109491,-1.79829792380842,0.089145156685403,25.2999992,NULL,1.4400001
2057,S02AL089002,02N0184,27979,02N00720,69,97,0.083189010337482,0.50731154959189,-2.21429144569704,0.126832676814353,32.5,NULL,1.29
2057,S02AL089002,02N0184,27979,02N00721,97,152,0.091276214980152,0.504611755538656,-1.69931618872863,0.078424906610886,30.5,NULL,1.3200001
2015,92NM027001,92P0681,19304,92P04048,5,18,0.030454225135476,0.36625538465099,-2.12364601590866,0.16112785770908,15.8999996,NULL,1.5599999
2015,92NM027001,92P0681,19304,92P04049,18,61,0.069379985513713,0.395059050788386,-1.29743408506232,0.161762748864728,12.3000002,NULL,1.49
2015,92NM027001,92P0681,19304,92P04050,61,81,0.040073887458088,0.392288930664069,-1.84357131268574,0.13165649272419,16.7000008,NULL,1.49
2015,92NM027001,92P0681,19304,92P04051,81,104,0.038406253490922,0.361757572993035,-2.43247989214191,0.190996626863393,18,NULL,1.63
2015,92NM027001,92P0681,19304,92P04053,165,185,0.039036945719288,0.379692310146342,-2.61346436318317,0.236107115691453,20.5,NULL,1.54
2015,92NM027001,92P0681,19304,92P04054,185,214,0.047084168110272,0.392268710386883,-2.77862614280594,0.273026520328372,23.1000004,NULL,1.51
2172,S2010NM039001,10N1336,53313,10N06414,0,19,0.04102691211323,0.367808854017928,-1.7338437122221,0.10982943118249,14.1000004,NULL,1.58
2172,S2010NM039001,10N1336,53313,10N06415,19,36,0.036032782866432,0.366773922564139,-1.50256661604566,0.110666379269127,11.1999998,NULL,1.5700001
2172,S2010NM039001,10N1336,53313,10N06416,36,67,0.033411342869023,0.387560509762931,-1.31663969145059,0.121373564968931,9.3000002,NULL,1.5
2172,S2010NM039001,10N1336,53313,10N06417,67,99,0.039256053478051,0.418167462073107,-1.53360845543847,0.108298017082234,14.8000002,NULL,1.37
2172,S2010NM039001,10N1336,53313,10N06418,99,139,0.032504157338305,0.410031298882324,-2.0184121515891,0.136536872702955,18.5,NULL,1.35
2172,S2010NM039001,10N1336,53313,10N06419,139,235,0.025706608678799,0.386481001034419,-1.35150571645787,0.11652553535502,8.8999996,NULL,1.5
2076,2003TN055001S,03N0737,30331,03N03661,0,10,0.077580796150347,0.495505545780538,-2.59273620348352,0.239276125060911,35.0999985,NULL,1.15
2076,2003TN055001S,03N0737,30331,03N03662,10,20,0.068845429130343,0.434603286621734,-2.07599872409406,0.127221740011914,23.8999996,NULL,1.4400001
2076,2003TN055001S,03N0737,30331,03N03663,20,46,0.091658759338973,0.420152570435433,-1.46674953504523,0.075826588831343,22.2000008,NULL,1.53
2076,2003TN055001S,03N0737,30331,03N03664,46,60,0.093718887118941,0.49958450769203,-1.58670121944519,0.063436856571646,31.2000008,NULL,1.36
2076,2003TN055001S,03N0737,30331,03N03665,60,90,0.108756383640149,0.479707311932228,-1.35851456344807,0.054945643628939,29.8999996,NULL,1.4400001
2031,S2001IA015001,02N0164,28516,02N00590,0,20,0.093458200104729,0.528828939503156,-1.93866122248857,0.100987642679208,35.7999992,NULL,1.2
2031,S2001IA015001,02N0164,28516,02N00591,20,46,0.087186227769598,0.511253231758906,-2.15532058400269,0.118294510909669,34.5,NULL,1.26
2031,S2001IA015001,02N0164,28516,02N00592,46,58,0.071665998106633,0.446913117317154,-2.11806169150304,0.121073167885209,25.8999996,NULL,1.4299999
2031,S2001IA015001,02N0164,28516,02N00593,58,71,0.073972584262461,0.462787545564016,-2.20554861836854,0.141979595414756,27.2999992,NULL,1.36
2031,S2001IA015001,02N0164,28516,02N00594,71,94,0.057381186491103,0.390183696099817,-1.89465503295761,0.113393671184872,19.3999996,NULL,1.55
2031,S2001IA015001,02N0164,28516,02N00595,94,119,0.042942328312072,0.364665265800475,-2.26937494796104,0.162307312493528,18.1000004,NULL,1.61
2031,S2001IA015001,02N0164,28516,02N00596,119,140,0.049961533725821,0.375993247743325,-1.81914072391189,0.119723841425026,17.5,NULL,1.54
2031,S2001IA015001,02N0164,28516,02N00597,140,163,0.026557345576157,0.345366679375036,-2.13290961306871,0.165791336760019,15,NULL,1.58
2031,S2001IA015001,02N0164,28516,02N00598,163,170,0.031784846757593,0.330474551641135,-2.64383386168693,0.236502065244654,16.3999996,NULL,1.74
2031,S2001IA015001,02N0164,28516,02N00599,170,183,0.040102781196091,0.334589398130287,-2.11800519179423,0.123748973254404,15.8999996,NULL,1.77
2065,S2001AK178001,01N1174,28500,01N06054,0,15,0.095734147295172,0.555342165294262,-2.91778098663399,0.384318065171188,53.5999985,NULL,0.91
2065,S2001AK178001,01N1174,28500,01N06055,15,35,0.105911966253046,0.526115661819811,-3.0965637078897,0.453022774607068,47.9000015,NULL,1.0599999
2065,S2001AK178001,01N1174,28500,01N06056,35,61,0.099015095107967,0.506919751910987,-3.11654741292256,0.452375075211016,44.7999992,NULL,1.11
2065,S2001AK178001,01N1174,28500,01N06057,61,95,0.111513830465162,0.526333200741725,-3.12630447456497,0.470460524844681,47.2999992,NULL,1.09
2065,S2001AK178001,01N1174,28500,01N06058,95,154,0.134243027946092,0.562572956750077,-3.10575467062696,0.498678231787652,50.0999985,NULL,1.0700001
2065,S2001AK178001,01N1174,28500,01N06059,154,230,0.081777162481025,0.511354865496671,-2.9712591203516,0.41640581387699,41.2999992,NULL,1.09
2032,99MS133001,99P0647,24681,99P04419,0,15,0.092875434689216,0.484189717089607,-1.67126508147476,0.065895415344063,29.7000008,NULL,1.41
2032,99MS133001,99P0647,24681,99P04420,15,30,0.082848119499439,0.484291885813595,-2.11675224079869,0.094563600404252,29.8999996,NULL,1.4299999
2032,99MS133001,99P0647,24681,99P04421,30,68,0.113870887674507,0.486833102466317,-1.38262404500779,0.0594089673684,30,NULL,1.39
2032,99MS133001,99P0647,24681,99P04422,68,91,0.087353425357024,0.488505745945808,-2.0008027429745,0.093742772591587,29.8999996,NULL,1.39
2032,99MS133001,99P0647,24681,99P04423,91,114,0.090164400623291,0.501858323864895,-1.89624017624946,0.07556362550988,32,NULL,1.38
2032,99MS133001,99P0647,24681,99P04424,114,152,0.090068578485412,0.537318836876224,-2.1015807169383,0.086386101809499,37.0999985,NULL,1.29
2032,99MS133001,99P0647,24681,99P04425,152,162,0.092349796076195,0.563939678214736,-2.13612394104431,0.089760500295296,41.2000008,NULL,1.21
2207,S07UT003-001,08N0135,34628,08N00904,0,10,0.061192031696694,0.45033269821529,-1.65688673459536,0.126801344577714,21.8999996,NULL,1.24
2207,S07UT003-001,08N0135,34628,08N00905,10,20,0.064937736197347,0.421169987704514,-1.80233902509977,0.117336442532201,21.1000004,NULL,1.42
2207,S07UT003-001,08N0135,34628,08N00906,20,35,0.070940014749699,0.44341108620599,-1.70676865711536,0.118087707577816,22.2000008,NULL,1.33
2207,S07UT003-001,08N0135,34628,08N00907,35,53,0.076082869440381,0.456139515567458,-1.45023955551713,0.127178312711415,20.8999996,NULL,1.23
2207,S07UT003-001,08N0135,34628,08N00908,53,88,0.078906011979029,0.44326964187285,-1.44153644151885,0.123991170021919,20.3999996,NULL,1.28
2207,S07UT003-001,08N0135,34628,08N00909,88,127,0.078813517766496,0.445484128562124,-1.59365941841069,0.111393410333621,22.2999992,NULL,1.33
2135,S07UT003-001,08N0135,34628,08N00904,0,10,0.061192031696694,0.45033269821529,-1.65688673459536,0.126801344577714,21.8999996,NULL,1.24
2135,S07UT003-001,08N0135,34628,08N00905,10,20,0.064937736197347,0.421169987704514,-1.80233902509977,0.117336442532201,21.1000004,NULL,1.42
2135,S07UT003-001,08N0135,34628,08N00906,20,35,0.070940014749699,0.44341108620599,-1.70676865711536,0.118087707577816,22.2000008,NULL,1.33
2135,S07UT003-001,08N0135,34628,08N00907,35,53,0.076082869440381,0.456139515567458,-1.45023955551713,0.127178312711415,20.8999996,NULL,1.23
2135,S07UT003-001,08N0135,34628,08N00908,53,88,0.078906011979029,0.44326964187285,-1.44153644151885,0.123991170021919,20.3999996,NULL,1.28
2135,S07UT003-001,08N0135,34628,08N00909,88,127,0.078813517766496,0.445484128562124,-1.59365941841069,0.111393410333621,22.2999992,NULL,1.33
2151,S2009UT033001,09N1054,40642,09N04158,0,20,0.044585054441566,0.450710122618977,-2.27151497598902,0.169012939077073,28.2999992,NULL,1.12
2151,S2009UT033001,09N1054,40642,09N04159,20,30,0.0772250893792,0.482789705782444,-2.25418749448461,0.157748070314834,30.7000008,NULL,1.17
2151,S2009UT033001,09N1054,40642,09N04160,30,51,0.083715189343806,0.458313855614749,-2.52894367356205,0.203135710064424,28.8999996,NULL,1.3
2006,91TX381001,92P0203,18826,92P01351,0,18,0.064888183289589,0.448128772082559,-2.01927339656564,0.139604457368735,24.3999996,NULL,1.3200001
2006,91TX381001,92P0203,18826,92P01352,18,61,0.076987868312921,0.472502493081393,-2.26834858946808,0.118882562681329,28.7999992,NULL,1.4299999
2006,91TX381001,92P0203,18826,92P01353,61,94,0.071656968172646,0.443211725257761,-2.27887956441305,0.12064299958605,25.6000004,NULL,1.52
2006,91TX381001,92P0203,18826,92P01354,94,127,0.074669351326999,0.460252001821962,-2.3422125617747,0.152749667796808,27.1000004,NULL,1.41
2006,91TX381001,92P0203,18826,92P01355,127,160,0.072834081057146,0.449114919883444,-2.56877961263217,0.168572009613333,27.2000008,NULL,1.49
2006,91TX381001,92P0203,18826,92P01357,183,229,0.066523295372071,0.431856510298463,-2.25027059252922,0.155692214892587,22.6000004,NULL,1.47
2136,S07UT005-001,08N0136,34629,08N00912,0,9,0.113366087575514,0.504490847289038,-1.4655047481436,0.101917747718562,27.2000008,NULL,1.22
2136,S07UT005-001,08N0136,34629,08N00913,9,25,0.113942340702247,0.497475186784049,-1.46813785977991,0.095746238823742,27.1000004,NULL,1.26
2136,S07UT005-001,08N0136,34629,08N00914,25,37,0.118542562559804,0.497983452901118,-1.43849453129269,0.09021071502674,27.3999996,NULL,1.28
2136,S07UT005-001,08N0136,34629,08N00915,37,58,0.134799435405633,0.48140260527973,-1.32005613608226,0.087307634790289,26.1000004,NULL,1.34
2136,S07UT005-001,08N0136,34629,08N00916,58,95,0.114818326112425,0.479721709951668,-1.42200222964932,0.075001965121947,26.8999996,NULL,1.38
2136,S07UT005-001,08N0136,34629,08N00917,95,118,0.094374938027245,0.500809617072797,-1.79905701042668,0.083959002902233,30.7999992,NULL,1.33
2136,S07UT005-001,08N0136,34629,08N00918,118,134,0.097642965356111,0.523846645568349,-2.6113611059459,0.231802694908118,36.4000015,NULL,1.1900001
2136,S07UT005-001,08N0136,34629,08N00919,134,163,0.084527670138387,0.477763604432513,-1.84880911222984,0.070580537294793,28.7999992,NULL,1.46
2136,S07UT005-001,08N0136,34629,08N00920,163,179,0.047630737441945,0.473855353045,-1.61567026563709,0.124984525752345,23.8999996,NULL,1.11
2136,S07UT005-001,08N0136,34629,08N00921,179,203,0.106280028366277,0.526275491064174,-2.8255358096801,0.255860891370956,36.2999992,NULL,1.29
2161,2014UT0531053,10N0509,43933,10N02099,0,10,0.016786622422057,0.330820748125291,-1.69700156795194,0.1228690410897,8.6999998,NULL,1.66
2161,2014UT0531053,10N0509,43933,10N02100,10,40,0.023648274301615,0.328525537376351,-2.44906484648139,0.208060236676133,14.6999998,NULL,1.64
2161,2014UT0531053,10N0509,43933,10N02101,40,67,0.017096760351129,0.349427202304193,-1.58137699199442,0.117526261126702,8.6000004,NULL,1.59
2161,2014UT0531053,10N0509,43933,10N02102,67,121,0.01621073888863,0.373228124288758,-1.77918454969544,0.122828644320325,11.3999996,NULL,1.48
2145,04NV003008,05N0126,31754,05N00643,3,12,0.045829420132017,0.383965450331374,-1.28516675103222,0.176114854518357,11,NULL,1.42
2145,04NV003008,05N0126,31754,05N00644,12,24,0.03225918331727,0.396013202163728,-1.52144834930222,0.131994591280338,13.5,NULL,1.4
